id,alder,gender,GSE_mean,NPI_mean,obj_mean,subj_mean,diff_mean,tal_raw,tal_skala,tal_indeks,tal_perc,tal_selv_perc,tal_selv_indeks,tal_diff,regn_raw,regn_skala,regn_indeks,regn_perc,regn_selv_perc,regn_selv_indeks,regn_diff,kod_raw,kod_skala,kod_indeks,kod_perc,kod_selv_perc,kod_selv_indeks,symbol_diff,symbol_raw,symbol_skala,symbol_indeks,symbol_perc,symbol_selv_perc,symbol_selv_indeks,symbol_diff
Blæksprutte,24,kvinde,3.20,0.313,96.25,102,5.96,18,6,80,9%,40%,96,16,9,6,80,9%,40%,96,16,89,14,120,91%,80%,113,-7,37,11,105,63%,60%,104,-1
Spækhugger,21,mand,2.70,0.625,93.75,105,11.37,22,8,90,25%,60%,104,14,8,5,75,5%,40%,96,21,63,9,95,37%,80%,113,18,40,13,115,84%,70%,108,-7
Guldfisk,18,kvinde,3.50,0.500,103.75,96,-7.68,22,8,90,25%,50%,100,10,12,9,95,37%,50%,100,5,84,13,115,84%,30%,92,-23,42,13,115,84%,30%,92,-23
Hvidhaj,21,kvinde,2.50,0.250,106.25,102,-4.35,25,9,95,37%,50%,100,5,16,12,110,75%,50%,100,-10,71,11,105,63%,60%,104,-1,42,13,115,84%,60%,104,-11
Bøffel,24,kvinde,2.50,0.063,93.75,96,2.14,21,7,85,16%,40%,96,11,11,8,90,25%,20%,87,-3,77,12,110,75%,50%,100,-10,28,8,90,25%,50%,100,10
Krokodille,24,kvinde,3.00,0.125,110,104,-6.07,18,6,80,9%,40%,96,16,12,9,95,37%,70%,108,13,105,17,135,99%,60%,104,-31,50,16,130,98%,70%,108,-22
Hornugle,21,mand,2.40,0.188,91.25,97,5.53,23,8,90,25%,30%,92,2,11,8,90,25%,20%,87,-3,66,10,100,50%,60%,104,4,24,7,85,16%,60%,104,19
Pindsvin,33,mand,3.40,0.063,112.5,114,1.56,21,8,90,25%,60%,104,14,21,17,135,99%,98%,129,-6,59,9,95,37%,60%,104,9,48,16,130,98%,90%,119,-11
Pungrotte,18,kvinde,3.40,0.313,106.25,95,-11.31,24,9,95,37%,40%,96,1,15,11,105,63%,20%,87,-18,99,16,130,98%,50%,100,-30,30,9,95,37%,40%,96,1
Pukkelhval,23,kvinde,3.30,0.500,90,118,27.57,19,6,80,9%,90%,119,39,8,5,75,5%,90%,119,44,74,11,105,63%,80%,113,8,33,10,100,50%,90%,119,19
Pelikan,18,kvinde,3.40,0.250,100,105,5.12,23,8,90,25%,70%,108,18,17,12,110,75%,40%,96,-14,70,10,100,50%,60%,104,4,33,10,100,50%,80%,113,13
Påfugl,18,mand,3.60,0.500,105,111,5.88,25,9,95,37%,60%,104,9,15,11,105,63%,90%,119,14,83,13,115,84%,80%,113,-2,36,11,105,63%,70%,108,3
Svane,20,kvinde,3.60,0.188,86.25,92,5.38,21,7,85,16%,30%,92,7,8,5,75,5%,3%,71,-4,57,8,90,25%,50%,100,10,32,9,95,37%,60%,104,9
Panda,19,kvinde,3.00,0.063,81.25,97,15.59,17,5,75,5%,30%,92,17,9,6,80,9%,20%,87,7,58,8,90,25%,70%,108,18,22,6,80,9%,50%,100,20
Ræv,23,kvinde,3.20,0.375,95,105,9.88,22,8,90,25%,70%,108,18,10,7,85,16%,50%,100,15,69,10,100,50%,60%,104,4,37,11,105,63%,70%,108,3
Ulv,24,kvinde,2.40,0.313,87.5,102,14.40,19,6,80,9%,60%,104,24,9,6,80,9%,30%,92,12,74,11,105,63%,70%,108,3,26,7,85,16%,60%,104,19
Elefant,23,kvinde,3.10,0.375,83.75,99,15.30,20,7,85,16%,50%,100,15,8,5,75,5%,30%,92,17,60,9,95,37%,40%,96,1,21,6,80,9%,70%,108,28
Papegøje,19,kvinde,2.40,0.625,103.75,89,-14.46,26,10,100,50%,30%,92,-8,12,9,95,37%,10%,81,-14,71,11,105,63%,30%,92,-13,42,13,115,84%,30%,92,-23
Dragefisk,26,kvinde,3.20,0.438,108.75,112,3.14,28,12,110,75%,70%,108,-2,14,10,100,50%,70%,108,8,88,14,120,91%,80%,113,-7,35,11,105,63%,90%,119,14
Spætte,24,kvinde,3.60,0.125,105,92,-12.72,21,7,85,16%,30%,92,7,15,11,105,63%,10%,81,-24,86,14,120,91%,50%,100,-20,28,12,110,75%,40%,96,-14
