"","phase","id","instruction","pc2","fc2","pcs1","fcs1","pcfs12"
"71","posttest","Gnu","training",1.56751520346487,0.853813265561686,3.21022581009258,2.3019856962124,2.75774449895078
"72","posttest","Gorilla","transfer",2.35691682786979,1.3951062899219,2.74038686865208,2.6222744373049,3.19600232655875
"73","posttest","Haj ","training",1.42425086373901,0.733612993915656,1.93348049506344,2.13549020542445,2.66661171599301
"74","posttest","Hest","transfer",2.23737136541946,1.22880219966759,3.22968963430027,2.96360638474039,2.67121405441972
"75","posttest","hyane","transfer",1.68814248901521,1.28652370417761,4.32259786200081,3.53878045083195,3.80137398610202
"76","posttest","Igle","training",2.50614361618417,1.71502749755133,4.71252094015166,2.88272655445855,3.28234347256506
"77","posttest","Insekt","training",2.07990509313317,1.50946749495585,3.22968963430027,3.01640695888961,2.53091001772405
"78","posttest","Isbjørn","training",1.94659473160714,1.55542201107139,3.19822126840116,3.42996991197827,3.26443498268441
"79","posttest","jaerv","training",0.796079305096826,1.05964773002343,3.53878045083195,2.88771969056072,2.9505628163907
"80","posttest","Jaguar","transfer",1.24623691264353,0.989879099433598,3.81548037942647,2.80330361543221,3.14207814071044
"81","posttest","jordbærdtærte-sommerfugl","transfer",0.965138895058789,1.0543283328214,3.12304865770674,2.55920656515823,2.8793473016621
"82","posttest","kalkun","transfer",2.93988528074045,2.45302217268692,4.05458396097108,4.71252094015166,3.72596212080192
"83","posttest","Koalabjørn","transfer",1.47047984172081,1.56035958948026,2.07420914876122,2.96360638474039,2.3805919858471
"84","posttest","kobra","training",4.0859709737082,1.87783907387047,3.53878045083195,4.40568373525533,3.70057406166579
"85","posttest","Lama","transfer",1.88981396027008,1.16689374720875,2.88835768686478,2.33498521606937,2.3805919858471
"86","posttest","Lemur","transfer",1.07008708498672,1.63195291113679,3.72304564784111,2.19352895554402,2.61565150263592
"87","posttest","Leopard","training",2.4150072770014,1.42035408531042,2.64254487864319,1.75412046023221,3.19117411897199
"88","posttest","mariehone","training",1.7601824244586,0.970534320378002,3.1638866624184,3.42996991197827,2.8793473016621
"89","posttest","Moskusokse","transfer",1.07008708498672,1.99991189403663,1.1187336706697,2.36990671671003,2.95215777175453
"90","posttest","mus","transfer",2.1784320504885,1.87829764672567,3.32410170038944,2.96360638474039,2.90598516486455
"91","posttest","næbdyr","transfer",1.47568322463287,1.32690167116551,2.99256338725947,2.53013454325945,2.33920480535548
