id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_tested,sound_target,figure_response,occupation,figure_target,figure_score,color_target,timestamp,simulate,figure_tested,position_target,color_response,sound_tested,sound_response,position_response,position_tested,position_score,sound_score,color_score
fugl ,female,28,training_transfer,training,ps2,2,2,16,0,white,circle,sounds\E.wav,0,0,,Studerende,,,,1554967632531,no,0,1,,1,0,0,1,0,1,
fugl ,female,28,training_transfer,training,ps2,2,2,17,1,white,circle,sounds\E.wav,0,0,,Studerende,,,,1554967635071,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,18,2,white,circle,sounds\D.wav,0,0,,Studerende,,,,1554967637611,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,19,1,white,circle,sounds\D.wav,0,0,,Studerende,,,,1554967640141,no,0,1,,1,1,0,1,0,0,
fugl ,female,28,training_transfer,training,ps2,2,2,20,7,white,circle,sounds\V.wav,0,0,,Studerende,,,,1554967642671,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,21,7,white,circle,sounds\D.wav,0,1,,Studerende,,,,1554967645201,no,0,0,,1,0,0,1,1,0,
fugl ,female,28,training_transfer,training,ps2,2,2,22,6,white,circle,sounds\G.wav,0,0,,Studerende,,,,1554967647731,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,23,5,white,circle,sounds\D.wav,0,1,,Studerende,,,,1554967650271,no,0,0,,1,0,0,1,1,0,
fugl ,female,28,training_transfer,training,ps2,2,2,24,1,white,circle,sounds\G.wav,0,1,,Studerende,,,,1554967652811,no,0,0,,1,0,0,1,1,0,
fugl ,female,28,training_transfer,training,ps2,2,2,25,5,white,circle,sounds\G.wav,0,0,,Studerende,,,,1554967655341,no,0,1,,1,1,0,1,0,0,
fugl ,female,28,training_transfer,training,ps2,2,2,26,3,white,circle,sounds\B.wav,0,0,,Studerende,,,,1554967657881,no,0,0,,1,0,0,1,1,1,
fugl ,female,28,training_transfer,training,ps2,2,2,27,7,white,circle,sounds\C.wav,0,0,,Studerende,,,,1554967660421,no,0,0,,1,0,0,1,1,1,
