id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,figure_tested,simulate,color_tested,figure_response,figure_target,sound_tested,sound_response,color_score,color_target,timestamp,position_tested,position_target,occupation,figure_score,sound_score,sound_target,color_response,position_response
Haj ,female,21,training_train,pretest,fcs1,3,1,58,4,white,circle,sounds\B.wav,,1,no,1,1,1,1,0,1,1,1554813223690,0,,Studerende,1,1,0,1,
Haj ,female,21,training_train,pretest,fcs1,3,1,59,4,darkorange,square,sounds\P.wav,,1,no,1,0,0,1,0,1,0,1554813227240,0,,Studerende,1,1,0,0,
Haj ,female,21,training_train,pretest,fcs1,3,1,60,4,darkorange,square,sounds\P.wav,,1,no,1,0,1,1,0,1,1,1554813230806,0,,Studerende,0,0,1,1,
Haj ,female,21,training_train,pretest,fcs1,3,1,61,4,dimgray,triangle,sounds\E.wav,,1,no,1,0,0,1,0,1,0,1554813234357,0,,Studerende,1,1,0,0,
Haj ,female,21,training_train,pretest,pcfs12,4,1,1,2,red,circle,sounds\B.wav,1,1,no,1,0,0,1,0,1,0,1554813245707,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,2,3,red,circle,sounds\V.wav,1,1,no,1,0,1,1,0,1,1,1554813249274,1,0,Studerende,0,1,0,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,3,3,dimgray,circle,sounds\T.wav,0,1,no,1,0,1,1,0,1,0,1554813252824,1,1,Studerende,0,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,4,3,dimgray,triangle,sounds\V.wav,0,1,no,1,0,0,1,0,0,1,1554813256375,1,1,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,5,6,blue,triangle,sounds\C.wav,1,1,no,1,0,1,1,0,1,0,1554813259925,1,0,Studerende,0,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,6,7,white,circle,sounds\C.wav,1,1,no,1,0,0,1,0,1,0,1554813263474,1,0,Studerende,1,0,1,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,7,5,dimgray,triangle,sounds\E.wav,1,1,no,1,0,0,1,0,1,0,1554813267024,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,8,2,white,star,sounds\C.wav,1,1,no,1,0,0,1,0,1,0,1554813270574,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,9,8,white,square,sounds\B.wav,1,1,no,1,0,0,1,0,1,1,1554813274142,1,0,Studerende,1,1,0,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,10,1,yellow,triangle,sounds\G.wav,1,1,no,1,0,0,1,0,1,0,1554813277692,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,11,3,white,star,sounds\P.wav,1,1,no,1,0,0,1,0,1,0,1554813281242,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,12,4,dimgray,star,sounds\P.wav,1,1,no,1,1,1,1,0,1,0,1554813284808,1,0,Studerende,1,0,1,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,13,4,red,triangle,sounds\G.wav,1,1,no,1,0,0,1,0,1,0,1554813288375,1,1,Studerende,1,1,0,0,1
Haj ,female,21,training_train,pretest,pcfs12,4,1,14,6,darkorange,star,sounds\G.wav,1,1,no,1,0,0,1,1,1,0,1554813291942,1,0,Studerende,1,1,1,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,15,8,darkorange,star,sounds\C.wav,1,1,no,1,0,1,1,0,0,1,1554813295492,1,0,Studerende,0,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,16,7,darkorange,star,sounds\T.wav,1,1,no,1,1,1,1,0,1,1,1554813299075,1,0,Studerende,1,1,0,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,17,2,yellow,square,sounds\B.wav,1,1,no,1,0,0,1,0,1,0,1554813302625,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,18,2,green,square,sounds\B.wav,0,1,no,1,1,1,1,0,1,0,1554813306192,1,1,Studerende,1,0,1,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,19,3,green,triangle,sounds\C.wav,1,1,no,1,0,0,1,0,1,1,1554813309759,1,0,Studerende,1,1,0,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,20,1,darkorange,circle,sounds\E.wav,1,1,no,1,0,0,1,0,1,0,1554813313309,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,21,1,darkorange,square,sounds\E.wav,0,1,no,1,0,0,1,0,1,1,1554813316876,1,1,Studerende,1,0,1,1,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,22,4,darkorange,triangle,sounds\P.wav,1,1,no,1,0,0,1,0,0,1,1554813320426,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,23,7,red,circle,sounds\D.wav,1,1,no,1,0,0,1,0,1,0,1554813323976,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,24,7,darkorange,triangle,sounds\P.wav,0,1,no,1,0,0,1,0,1,0,1554813327527,1,1,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,25,5,blue,square,sounds\D.wav,1,1,no,1,0,0,1,0,1,0,1554813331077,1,0,Studerende,1,1,0,0,0
Haj ,female,21,training_train,pretest,pcfs12,4,1,26,3,green,circle,sounds\T.wav,1,1,no,1,0,0,1,0,1,0,1554813334627,1,0,Studerende,1,1,0,0,0
