id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,figure_score,color_target,position_score,sound_response,sound_target,position_tested,figure_tested,figure_target,sound_tested,simulate,occupation,position_target,figure_response,position_response,color_score,color_tested,color_response,sound_score
okse,female,23,training_train,practice,pcfs1,4,1,13,2,dimgray,circle,sounds\T.wav,1555328722604,1,0,1,0,0,1,1,0,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,14,7,darkorange,circle,sounds\B.wav,1555328726164,0,0,1,0,0,1,1,1,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,15,7,green,star,sounds\B.wav,1555328729724,1,0,0,0,1,1,1,0,1,no,Studerende,1,0,0,1,1,0,0
okse,female,23,training_train,practice,pcfs1,4,1,16,8,darkorange,triangle,sounds\C.wav,1555328733284,1,0,1,0,0,1,1,0,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,17,0,dimgray,triangle,sounds\C.wav,1555328736864,0,0,0,0,1,1,1,1,1,no,Studerende,0,0,1,1,1,0,0
okse,female,23,training_train,practice,pcfs1,4,1,18,4,dimgray,square,sounds\T.wav,1555328740424,1,1,1,0,0,1,1,0,1,no,Studerende,0,0,0,0,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,19,7,dimgray,triangle,sounds\P.wav,1555328743984,1,1,1,0,0,1,1,0,1,no,Studerende,0,0,0,0,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,20,2,green,star,sounds\P.wav,1555328747544,1,0,1,0,1,1,1,0,1,no,Studerende,0,0,0,1,1,0,0
okse,female,23,training_train,practice,pcfs1,4,1,21,3,blue,circle,sounds\P.wav,1555328751124,1,0,1,0,1,1,1,0,1,no,Studerende,0,0,0,0,1,1,0
okse,female,23,training_train,practice,pcfs1,4,1,22,3,blue,star,sounds\C.wav,1555328754684,1,1,0,0,0,1,1,0,1,no,Studerende,1,0,0,0,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,23,4,green,triangle,sounds\G.wav,1555328758244,1,0,1,0,0,1,1,0,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,24,0,green,star,sounds\C.wav,1555328761844,1,1,0,1,0,1,1,0,1,no,Studerende,0,0,1,0,1,0,0
okse,female,23,training_train,practice,pcfs1,4,1,25,0,green,star,sounds\T.wav,1555328765424,1,1,0,0,0,1,1,1,1,no,Studerende,1,1,0,0,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,26,0,red,circle,sounds\P.wav,1555328768984,1,0,0,0,0,1,1,0,1,no,Studerende,1,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,27,2,green,triangle,sounds\T.wav,1555328772544,1,0,1,0,0,1,1,0,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,practice,pcfs1,4,1,28,2,blue,triangle,sounds\V.wav,1555328776124,0,0,0,1,0,1,1,1,1,no,Studerende,1,0,0,1,1,0,0
okse,female,23,training_train,practice,pcfs1,4,1,29,7,red,star,sounds\V.wav,1555328779684,1,0,1,0,1,1,1,0,1,no,Studerende,0,0,0,1,1,0,0
okse,female,23,training_train,practice,pcfs1,4,1,30,1,yellow,star,sounds\V.wav,1555328783264,1,0,1,0,1,1,1,1,1,no,Studerende,0,1,0,1,1,0,0
okse,female,23,training_train,practice,pcfs1,4,1,31,3,darkorange,star,sounds\E.wav,1555328786824,0,0,1,0,0,1,1,1,1,no,Studerende,0,0,0,1,1,0,1
okse,female,23,training_train,pretest,pc2,2,2,1,6,red,circle,,1555328822884,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,2,7,blue,circle,,1555328825464,,0,0,,,1,0,,0,no,Studerende,0,,1,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,3,8,white,circle,,1555328828044,,0,0,,,1,0,,0,no,Studerende,0,,1,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,4,0,darkorange,circle,,1555328830644,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,5,8,white,circle,,1555328833204,,1,0,,,1,0,,0,no,Studerende,1,,0,0,1,0,
okse,female,23,training_train,pretest,pc2,2,2,6,1,green,circle,,1555328835784,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,7,2,yellow,circle,,1555328838364,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,8,0,green,circle,,1555328840944,,1,0,,,1,0,,0,no,Studerende,0,,1,1,1,1,
okse,female,23,training_train,pretest,pc2,2,2,9,7,red,circle,,1555328843524,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,10,8,yellow,circle,,1555328846114,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,11,7,blue,circle,,1555328848674,,0,0,,,1,0,,0,no,Studerende,1,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,12,1,blue,circle,,1555328851254,,0,0,,,1,0,,0,no,Studerende,0,,1,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,13,5,yellow,circle,,1555328853814,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,14,7,green,circle,,1555328856394,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,15,2,dimgray,circle,,1555328858974,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,16,7,blue,circle,,1555328861544,,0,1,,,1,0,,0,no,Studerende,1,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,17,3,yellow,circle,,1555328864094,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,18,0,red,circle,,1555328866694,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,19,0,yellow,circle,,1555328869294,,1,0,,,1,0,,0,no,Studerende,0,,1,1,1,1,
okse,female,23,training_train,pretest,pc2,2,2,20,2,yellow,circle,,1555328871874,,0,0,,,1,0,,0,no,Studerende,0,,1,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,21,3,green,circle,,1555328874454,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,22,1,yellow,circle,,1555328877014,,1,1,,,1,0,,0,no,Studerende,0,,0,0,1,0,
okse,female,23,training_train,pretest,pc2,2,2,23,2,green,circle,,1555328879594,,1,0,,,1,0,,0,no,Studerende,0,,1,0,1,0,
okse,female,23,training_train,pretest,pc2,2,2,24,0,white,circle,,1555328882174,,0,0,,,1,0,,0,no,Studerende,0,,1,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,25,3,yellow,circle,,1555328884734,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,26,7,white,circle,,1555328887314,,1,0,,,1,0,,0,no,Studerende,0,,1,0,1,0,
okse,female,23,training_train,pretest,pc2,2,2,27,3,blue,circle,,1555328889874,,0,0,,,1,0,,0,no,Studerende,1,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,28,2,green,circle,,1555328892454,,0,0,,,1,0,,0,no,Studerende,0,,1,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,29,7,green,circle,,1555328895034,,0,0,,,1,0,,0,no,Studerende,0,,1,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,30,6,darkorange,circle,,1555328897594,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,31,4,green,circle,,1555328900154,,1,1,,,1,0,,0,no,Studerende,0,,0,0,1,0,
okse,female,23,training_train,pretest,pc2,2,2,32,6,white,circle,,1555328902754,,0,1,,,1,0,,0,no,Studerende,1,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,33,7,yellow,circle,,1555328905334,,0,0,,,1,0,,0,no,Studerende,0,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,34,6,darkorange,circle,,1555328907914,,0,1,,,1,0,,0,no,Studerende,1,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,35,3,blue,circle,,1555328910474,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,36,6,white,circle,,1555328913054,,0,1,,,1,0,,0,no,Studerende,1,,1,0,1,1,
okse,female,23,training_train,pretest,pc2,2,2,37,7,green,circle,,1555328915614,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,38,6,white,circle,,1555328918174,,1,0,,,1,0,,0,no,Studerende,1,,0,0,1,0,
okse,female,23,training_train,pretest,pc2,2,2,39,0,blue,circle,,1555328920734,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
okse,female,23,training_train,pretest,pc2,2,2,40,6,white,circle,,1555328923294,,1,0,,,1,0,,0,no,Studerende,1,,0,0,1,0,
okse,female,23,training_train,pretest,pc2,2,2,41,3,darkorange,circle,,1555328925854,,0,1,,,1,0,,0,no,Studerende,0,,0,1,1,0,
