id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,color_score,position_score,sound_tested,figure_tested,sound_target,position_response,figure_response,sound_response,sound_score,color_tested,figure_score,simulate,figure_target,position_tested,occupation,position_target,color_response,color_target,timestamp
abe,female,22,training_transfer,pretest,fcs1,3,1,40,4,red,circle,sounds/P.wav,1,,1,1,1,,1,1,1,1,1,no,1,0,Studerende,,0,0,1555061740440
abe,female,22,training_transfer,pretest,fcs1,3,1,41,4,white,circle,sounds/T.wav,1,,1,1,0,,1,0,1,1,1,no,1,0,Studerende,,0,0,1555061744039
abe,female,22,training_transfer,pretest,fcs1,3,1,42,4,blue,star,sounds/V.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061747630
abe,female,22,training_transfer,pretest,fcs1,3,1,43,4,green,circle,sounds/C.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061751229
abe,female,22,training_transfer,pretest,fcs1,3,1,44,4,yellow,star,sounds/B.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061754831
abe,female,22,training_transfer,pretest,fcs1,3,1,45,4,yellow,star,sounds/B.wav,1,,1,1,1,,1,1,1,1,1,no,1,0,Studerende,,1,1,1555061758378
abe,female,22,training_transfer,pretest,fcs1,3,1,46,4,white,star,sounds/B.wav,1,,1,1,1,,1,1,1,1,1,no,1,0,Studerende,,0,0,1555061762007
abe,female,22,training_transfer,pretest,fcs1,3,1,47,4,blue,circle,sounds/T.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061765597
abe,female,22,training_transfer,pretest,fcs1,3,1,48,4,blue,square,sounds/P.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,1,1,1555061769205
abe,female,22,training_transfer,pretest,fcs1,3,1,49,4,green,circle,sounds/G.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061772799
abe,female,22,training_transfer,pretest,fcs1,3,1,50,4,blue,square,sounds/G.wav,1,,1,1,1,,0,1,1,1,1,no,0,0,Studerende,,0,0,1555061776412
abe,female,22,training_transfer,pretest,fcs1,3,1,51,4,blue,circle,sounds/G.wav,1,,1,1,1,,0,1,1,1,1,no,0,0,Studerende,,1,1,1555061780038
abe,female,22,training_transfer,pretest,fcs1,3,1,52,4,darkorange,circle,sounds/C.wav,1,,1,1,0,,1,0,1,1,1,no,1,0,Studerende,,0,0,1555061783642
abe,female,22,training_transfer,pretest,fcs1,3,1,53,4,dimgray,triangle,sounds/V.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061787233
abe,female,22,training_transfer,pretest,fcs1,3,1,54,4,white,star,sounds/T.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061790835
abe,female,22,training_transfer,pretest,fcs1,3,1,55,4,blue,square,sounds/G.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061794435
abe,female,22,training_transfer,pretest,fcs1,3,1,56,4,green,square,sounds/P.wav,1,,1,1,0,,1,0,1,1,1,no,1,0,Studerende,,0,0,1555061798031
abe,female,22,training_transfer,pretest,fcs1,3,1,57,4,blue,star,sounds/E.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061801619
abe,female,22,training_transfer,pretest,fcs1,3,1,58,4,darkorange,square,sounds/G.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061805218
abe,female,22,training_transfer,pretest,fcs1,3,1,59,4,red,circle,sounds/G.wav,1,,1,1,1,,0,1,1,1,1,no,0,0,Studerende,,0,0,1555061808829
abe,female,22,training_transfer,pretest,fcs1,3,1,60,4,red,star,sounds/V.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,1,1,1555061812443
abe,female,22,training_transfer,pretest,fcs1,3,1,61,4,darkorange,circle,sounds/B.wav,1,,1,1,0,,0,0,1,1,1,no,0,0,Studerende,,0,0,1555061816036
abe,female,22,training_transfer,pretest,pcfs12,4,1,1,4,blue,star,sounds/T.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555061865409
abe,female,22,training_transfer,pretest,pcfs12,4,1,2,1,dimgray,circle,sounds/E.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555061869009
abe,female,22,training_transfer,pretest,pcfs12,4,1,3,0,darkorange,star,sounds/E.wav,1,1,1,1,1,0,0,1,1,1,1,no,0,1,Studerende,0,0,0,1555061872628
abe,female,22,training_transfer,pretest,pcfs12,4,1,4,7,green,star,sounds/C.wav,1,1,1,1,0,0,1,0,1,1,1,no,1,1,Studerende,0,0,0,1555061876251
abe,female,22,training_transfer,pretest,pcfs12,4,1,5,7,dimgray,triangle,sounds/P.wav,1,1,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,1,0,0,1555061879856
abe,female,22,training_transfer,pretest,pcfs12,4,1,6,7,white,circle,sounds/C.wav,1,1,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,1,0,0,1555061883455
abe,female,22,training_transfer,pretest,pcfs12,4,1,7,1,yellow,circle,sounds/D.wav,1,1,1,1,0,0,1,0,1,1,1,no,1,1,Studerende,0,0,0,1555061887054
abe,female,22,training_transfer,pretest,pcfs12,4,1,8,3,red,star,sounds/D.wav,1,1,1,1,1,0,0,1,1,1,1,no,0,1,Studerende,0,0,0,1555061890662
abe,female,22,training_transfer,pretest,pcfs12,4,1,9,3,red,triangle,sounds/T.wav,0,0,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,1,0,1,1555061894247
abe,female,22,training_transfer,pretest,pcfs12,4,1,10,3,yellow,star,sounds/B.wav,1,1,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,1,0,0,1555061897866
abe,female,22,training_transfer,pretest,pcfs12,4,1,11,2,dimgray,triangle,sounds/D.wav,1,1,1,1,0,0,0,1,0,1,1,no,0,1,Studerende,0,0,0,1555061901486
abe,female,22,training_transfer,pretest,pcfs12,4,1,12,2,darkorange,star,sounds/T.wav,1,1,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,1,0,0,1555061905097
abe,female,22,training_transfer,pretest,pcfs12,4,1,13,1,white,square,sounds/T.wav,1,1,1,1,1,0,0,1,1,1,1,no,0,1,Studerende,0,0,0,1555061908718
abe,female,22,training_transfer,pretest,pcfs12,4,1,14,0,white,circle,sounds/G.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,1,1,1555061912313
abe,female,22,training_transfer,pretest,pcfs12,4,1,15,0,dimgray,circle,sounds/C.wav,1,1,1,1,0,1,1,0,1,1,1,no,1,1,Studerende,1,0,0,1555061915947
abe,female,22,training_transfer,pretest,pcfs12,4,1,16,7,blue,square,sounds/E.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555061919549
abe,female,22,training_transfer,pretest,pcfs12,4,1,17,6,yellow,circle,sounds/D.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555061923148
abe,female,22,training_transfer,pretest,pcfs12,4,1,18,6,yellow,circle,sounds/T.wav,1,1,1,1,0,1,1,0,1,1,1,no,1,1,Studerende,1,1,1,1555061926785
abe,female,22,training_transfer,pretest,pcfs12,4,1,19,2,yellow,star,sounds/T.wav,1,1,1,1,1,0,0,1,1,1,1,no,0,1,Studerende,0,1,1,1555061930396
abe,female,22,training_transfer,pretest,pcfs12,4,1,20,2,dimgray,square,sounds/C.wav,1,1,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,1,0,0,1555061934007
abe,female,22,training_transfer,pretest,pcfs12,4,1,21,7,darkorange,square,sounds/P.wav,1,1,1,1,0,0,1,0,1,1,1,no,1,1,Studerende,0,0,0,1555061937621
abe,female,22,training_transfer,pretest,pcfs12,4,1,22,7,green,star,sounds/V.wav,1,1,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,1,0,0,1555061941232
abe,female,22,training_transfer,pretest,pcfs12,4,1,23,2,darkorange,square,sounds/B.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555061944819
abe,female,22,training_transfer,pretest,pcfs12,4,1,24,2,blue,circle,sounds/D.wav,1,1,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,1,0,0,1555061948413
abe,female,22,training_transfer,pretest,pcfs12,4,1,25,6,dimgray,circle,sounds/B.wav,1,1,1,1,0,0,1,1,0,1,1,no,1,1,Studerende,0,0,0,1555061952033
abe,female,22,training_transfer,pretest,pcfs12,4,1,26,7,yellow,triangle,sounds/B.wav,1,1,1,1,1,0,0,1,1,1,1,no,0,1,Studerende,0,0,0,1555061955629
abe,female,22,training_transfer,pretest,pcfs12,4,1,27,6,yellow,circle,sounds/B.wav,1,1,1,1,1,0,1,1,1,1,0,no,0,1,Studerende,0,1,1,1555061959251
abe,female,22,training_transfer,pretest,pcfs12,4,1,28,8,red,circle,sounds/G.wav,1,1,1,1,0,0,1,0,1,1,1,no,1,1,Studerende,0,0,0,1555061962859
abe,female,22,training_transfer,pretest,pcfs12,4,1,29,6,darkorange,square,sounds/G.wav,1,1,1,1,1,0,0,1,1,1,1,no,0,1,Studerende,0,0,0,1555061966464
abe,female,22,training_transfer,pretest,pcfs12,4,1,30,6,darkorange,circle,sounds/C.wav,1,0,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,1,1,1,1555061970072
abe,female,22,training_transfer,pretest,pcfs12,4,1,31,4,dimgray,star,sounds/T.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555061973672
abe,female,22,training_transfer,pretest,pcfs12,4,1,32,1,yellow,circle,sounds/B.wav,1,0,1,1,0,1,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555061977294
abe,female,22,training_transfer,pretest,pcfs12,4,1,33,2,dimgray,star,sounds/P.wav,1,1,1,1,0,0,0,0,1,1,1,no,0,1,Studerende,0,0,0,1555061980891
abe,female,22,training_transfer,pretest,pcfs12,4,1,34,0,darkorange,star,sounds/P.wav,1,1,1,1,1,0,1,1,1,1,1,no,1,1,Studerende,0,0,0,1555061984519
abe,female,22,training_transfer,pretest,pcfs12,4,1,35,1,darkorange,star,sounds/P.wav,1,0,1,1,1,1,1,1,1,1,1,no,1,1,Studerende,0,1,1,1555061988051
