id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_score,position_tested,position_target,timestamp,sound_tested,position_score,figure_response,color_score,simulate,sound_response,occupation,sound_target,color_target,color_response,position_response,sound_score,color_tested,figure_target,figure_tested
ugle,male,26,training_train,practice,f2,1,2,21,4,white,star,,0,0,,1555697720546,0,,1,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,22,4,white,square,,1,0,,1555697723115,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,23,4,white,triangle,,1,0,,1555697725681,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,24,4,white,square,,0,0,,1555697728243,0,,0,,no,,I arbejde,,,,,,0,1,1
ugle,male,26,training_train,practice,f2,1,2,25,4,white,star,,1,0,,1555697730814,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,26,4,white,square,,0,0,,1555697733382,0,,0,,no,,I arbejde,,,,,,0,1,1
ugle,male,26,training_train,practice,f2,1,2,27,4,white,circle,,1,0,,1555697735953,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,28,4,white,star,,1,0,,1555697738520,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,29,4,white,triangle,,0,0,,1555697741113,0,,1,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,30,4,white,circle,,1,0,,1555697743692,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,31,4,white,square,,1,0,,1555697746258,0,,0,,no,,I arbejde,,,,,,0,0,1
ugle,male,26,training_train,practice,f2,1,2,32,4,white,circle,,0,0,,1555697748825,0,,0,,no,,I arbejde,,,,,,0,1,1
ugle,male,26,training_train,practice,sc2,2,2,1,4,red,circle,sounds/C.wav,,0,,1555697882946,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,2,4,darkorange,circle,sounds/C.wav,,0,,1555697885524,1,,,1,no,1,I arbejde,0,0,0,,0,1,,0
ugle,male,26,training_train,practice,sc2,2,2,3,4,yellow,circle,sounds/E.wav,,0,,1555697888096,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,4,4,red,circle,sounds/E.wav,,0,,1555697890676,1,,,0,no,0,I arbejde,0,0,1,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,5,4,darkorange,circle,sounds/E.wav,,0,,1555697893251,1,,,1,no,0,I arbejde,1,0,0,,0,1,,0
ugle,male,26,training_train,practice,sc2,2,2,6,4,yellow,circle,sounds/D.wav,,0,,1555697895816,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,7,4,darkorange,circle,sounds/G.wav,,0,,1555697898385,1,,,0,no,0,I arbejde,0,1,0,,1,1,,0
ugle,male,26,training_train,practice,sc2,2,2,8,4,red,circle,sounds/C.wav,,0,,1555697900954,1,,,1,no,0,I arbejde,0,0,0,,1,1,,0
