id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_target,color_target,position_tested,color_score,sound_score,sound_tested,figure_tested,occupation,position_target,color_tested,figure_score,figure_target,sound_response,position_score,simulate,position_response,color_response,figure_response
Emu,female,19,training_train,practice,sc2,2,2,13,4,green,circle,sounds/P.wav,1554811700895,0,0,0,0,1,1,0,Studerende,,1,,,0,,no,,1,
Emu,female,19,training_train,practice,sc2,2,2,14,4,red,circle,sounds/E.wav,1554811703473,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,15,4,dimgray,circle,sounds/V.wav,1554811706047,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,16,4,darkorange,circle,sounds/C.wav,1554811708619,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,17,4,green,circle,sounds/B.wav,1554811711194,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,18,4,green,circle,sounds/E.wav,1554811713779,0,0,0,0,1,1,0,Studerende,,1,,,0,,no,,1,
Emu,female,19,training_train,practice,sc2,2,2,19,4,green,circle,sounds/B.wav,1554811716375,1,1,0,1,0,1,0,Studerende,,1,,,0,,no,,1,
Emu,female,19,training_train,practice,sc2,2,2,20,4,white,circle,sounds/T.wav,1554811718949,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,21,4,darkorange,circle,sounds/E.wav,1554811721521,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,22,4,white,circle,sounds/G.wav,1554811724110,0,1,0,1,1,1,0,Studerende,,1,,,0,,no,,1,
Emu,female,19,training_train,practice,sc2,2,2,23,4,yellow,circle,sounds/E.wav,1554811726685,1,0,0,1,0,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,24,4,white,circle,sounds/G.wav,1554811729259,1,1,0,0,0,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,25,4,white,circle,sounds/P.wav,1554811731845,0,0,0,0,1,1,0,Studerende,,1,,,0,,no,,1,
Emu,female,19,training_train,practice,sc2,2,2,26,4,darkorange,circle,sounds/C.wav,1554811734438,0,0,0,0,1,1,0,Studerende,,1,,,0,,no,,1,
Emu,female,19,training_train,practice,sc2,2,2,27,4,darkorange,circle,sounds/C.wav,1554811737012,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,28,4,darkorange,circle,sounds/C.wav,1554811739604,1,1,0,1,0,1,0,Studerende,,1,,,0,,no,,1,
Emu,female,19,training_train,practice,sc2,2,2,29,4,green,circle,sounds/C.wav,1554811742179,1,0,0,1,0,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,30,4,red,circle,sounds/T.wav,1554811744750,0,0,0,1,1,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,31,4,dimgray,circle,sounds/C.wav,1554811747325,1,0,0,1,0,1,0,Studerende,,1,,,0,,no,,0,
Emu,female,19,training_train,practice,sc2,2,2,32,4,red,circle,sounds/G.wav,1554811749914,0,1,0,1,1,1,0,Studerende,,1,,,0,,no,,1,
Emu,female,19,training_train,practice,pcfs1,4,1,1,6,red,triangle,sounds/B.wav,1554811795168,0,0,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,2,1,red,star,sounds/C.wav,1554811798784,0,1,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,1,0
Emu,female,19,training_train,practice,pcfs1,4,1,3,0,red,circle,sounds/B.wav,1554811802381,0,1,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,1,0
Emu,female,19,training_train,practice,pcfs1,4,1,4,0,green,circle,sounds/B.wav,1554811805989,1,0,1,1,0,1,1,Studerende,1,1,1,1,0,0,no,0,0,1
Emu,female,19,training_train,practice,pcfs1,4,1,5,3,darkorange,circle,sounds/D.wav,1554811809573,0,0,1,1,1,1,1,Studerende,0,1,0,1,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,6,1,darkorange,square,sounds/G.wav,1554811813199,0,1,1,0,0,1,1,Studerende,0,1,1,0,1,0,no,1,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,7,6,darkorange,star,sounds/G.wav,1554811816815,1,1,1,1,0,1,1,Studerende,0,1,1,0,0,1,no,0,1,0
Emu,female,19,training_train,practice,pcfs1,4,1,8,1,dimgray,circle,sounds/V.wav,1554811820403,0,0,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,9,0,dimgray,triangle,sounds/G.wav,1554811823992,0,1,1,0,1,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,10,2,yellow,triangle,sounds/C.wav,1554811827587,0,0,1,1,1,1,1,Studerende,0,1,0,1,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,11,8,yellow,triangle,sounds/C.wav,1554811831203,1,1,1,1,0,1,1,Studerende,0,1,0,1,0,1,no,0,1,0
Emu,female,19,training_train,practice,pcfs1,4,1,12,8,dimgray,square,sounds/C.wav,1554811834808,1,0,1,1,1,1,1,Studerende,1,1,1,0,1,0,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,13,8,red,square,sounds/G.wav,1554811838399,0,0,1,1,1,1,1,Studerende,1,1,0,1,0,0,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,14,4,darkorange,triangle,sounds/G.wav,1554811841994,1,0,1,1,0,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,15,4,green,triangle,sounds/P.wav,1554811845600,0,0,1,1,1,1,1,Studerende,1,1,0,1,0,1,no,1,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,16,1,red,star,sounds/T.wav,1554811849208,0,0,1,1,0,1,1,Studerende,0,1,1,0,1,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,17,5,darkorange,circle,sounds/D.wav,1554811852804,0,0,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,18,3,yellow,star,sounds/B.wav,1554811856398,0,0,1,1,1,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
Emu,female,19,training_train,practice,pcfs1,4,1,19,0,green,circle,sounds/B.wav,1554811859991,1,0,1,1,0,1,1,Studerende,0,1,1,0,0,1,no,0,0,0
