id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,color_score,color_target,sound_target,position_response,figure_tested,occupation,sound_tested,position_tested,sound_score,color_response,color_tested,figure_target,figure_score,figure_response,timestamp,position_score,simulate,sound_response
Lama,male,22,training_transfer,pretest,fc2,2,2,62,4,white,triangle,,,1,0,,,1,Studerende,0,0,,0,1,0,1,0,1554981788908,,no,
Lama,male,22,training_transfer,pretest,pcs1,3,1,1,0,darkorange,circle,sounds/P.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981810423,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,2,3,darkorange,circle,sounds/T.wav,0,1,1,0,0,0,Studerende,1,1,1,1,1,,,,1554981814039,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,3,6,dimgray,circle,sounds/V.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981817645,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,4,6,darkorange,circle,sounds/G.wav,1,1,0,0,1,0,Studerende,1,1,1,0,1,,,,1554981821275,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,5,2,yellow,circle,sounds/G.wav,0,1,0,1,0,0,Studerende,1,1,0,0,1,,,,1554981824885,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,6,6,green,circle,sounds/G.wav,0,1,0,1,0,0,Studerende,1,1,0,0,1,,,,1554981828481,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,7,1,darkorange,circle,sounds/C.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981832089,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,8,5,dimgray,circle,sounds/P.wav,0,1,0,0,0,0,Studerende,1,1,1,0,1,,,,1554981835685,1,no,0
Lama,male,22,training_transfer,pretest,pcs1,3,1,9,3,white,circle,sounds/P.wav,0,1,0,1,0,0,Studerende,1,1,1,0,1,,,,1554981839322,1,no,1
