id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,figure_score,color_response,color_tested,sound_response,figure_response,simulate,sound_tested,color_target,color_score,position_score,figure_target,position_target,timestamp,sound_target,figure_tested,occupation,position_tested,sound_score
chimpanse,female,,training_train,pretest,pcs1,3,1,9,4,yellow,circle,sounds/B.wav,1,,0,1,0,,no,1,0,1,1,,1,1554798390990,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,10,8,dimgray,circle,sounds/V.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798394586,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,11,7,dimgray,circle,sounds/V.wav,0,,1,1,1,,no,1,1,1,1,,0,1554798398203,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,12,5,dimgray,circle,sounds/G.wav,0,,1,1,0,,no,1,1,1,1,,0,1554798401816,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,13,0,green,circle,sounds/V.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798405404,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,14,5,yellow,circle,sounds/V.wav,0,,0,1,1,,no,1,0,1,1,,0,1554798409015,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,15,3,blue,circle,sounds/B.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798412600,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,16,8,white,circle,sounds/E.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798416187,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,17,8,white,circle,sounds/E.wav,1,,0,1,1,,no,1,1,0,1,,1,1554798419816,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,18,6,white,circle,sounds/V.wav,0,,0,1,0,,no,1,1,0,1,,0,1554798423406,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,19,7,blue,circle,sounds/V.wav,0,,0,1,1,,no,1,0,1,1,,0,1554798427011,1,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,20,0,red,circle,sounds/P.wav,0,,0,1,0,,no,1,0,1,1,,0,1554798430605,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,21,0,yellow,circle,sounds/G.wav,1,,0,1,0,,no,1,0,1,1,,1,1554798434227,0,0,Studerende,1,1
chimpanse,female,,training_train,pretest,pcs1,3,1,22,0,yellow,circle,sounds/G.wav,1,,0,1,1,,no,1,1,0,1,,1,1554798437852,1,0,Studerende,1,1
