id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,simulate,sound_response,figure_target,color_tested,color_target,sound_tested,occupation,figure_tested,figure_score,sound_target,color_score,position_tested,position_target,sound_score,position_response,color_response,timestamp,position_score,figure_response
Giraf,female,22,training_train,practice,f2,1,2,26,4,white,triangle,,no,,0,0,,0,Studerende,1,0,,,0,,,,,1554970040655,,1
Giraf,female,22,training_train,practice,f2,1,2,27,4,white,square,,no,,0,0,,0,Studerende,1,0,,,0,,,,,1554970043246,,1
Giraf,female,22,training_train,practice,f2,1,2,28,4,white,star,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554970045818,,0
Giraf,female,22,training_train,practice,f2,1,2,29,4,white,triangle,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554970048392,,0
Giraf,female,22,training_train,practice,f2,1,2,30,4,white,star,,no,,1,0,,0,Studerende,1,0,,,0,,,,,1554970050966,,0
Giraf,female,22,training_train,practice,f2,1,2,31,4,white,triangle,,no,,1,0,,0,Studerende,1,0,,,0,,,,,1554970053556,,0
Giraf,female,22,training_train,practice,f2,1,2,32,4,white,circle,,no,,0,0,,0,Studerende,1,1,,,0,,,,,1554970056130,,0
Giraf,female,22,training_train,practice,sc2,2,2,1,4,darkorange,circle,sounds/G.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970069689,,
Giraf,female,22,training_train,practice,sc2,2,2,2,4,darkorange,circle,sounds/G.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970072255,,
Giraf,female,22,training_train,practice,sc2,2,2,3,4,dimgray,circle,sounds/P.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970074829,,
Giraf,female,22,training_train,practice,sc2,2,2,4,4,darkorange,circle,sounds/C.wav,no,0,,1,1,1,Studerende,0,,0,1,0,,1,,1,1554970077415,,
Giraf,female,22,training_train,practice,sc2,2,2,5,4,red,circle,sounds/C.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970079993,,
Giraf,female,22,training_train,practice,sc2,2,2,6,4,red,circle,sounds/C.wav,no,0,,1,0,1,Studerende,0,,1,1,0,,0,,0,1554970082567,,
Giraf,female,22,training_train,practice,sc2,2,2,7,4,yellow,circle,sounds/E.wav,no,0,,1,0,1,Studerende,0,,0,0,0,,1,,1,1554970085153,,
Giraf,female,22,training_train,practice,sc2,2,2,8,4,white,circle,sounds/C.wav,no,0,,1,0,1,Studerende,0,,1,1,0,,0,,0,1554970087731,,
Giraf,female,22,training_train,practice,sc2,2,2,9,4,darkorange,circle,sounds/C.wav,no,1,,1,0,1,Studerende,0,,0,1,0,,0,,0,1554970090308,,
Giraf,female,22,training_train,practice,sc2,2,2,10,4,green,circle,sounds/T.wav,no,1,,1,0,1,Studerende,0,,0,1,0,,0,,0,1554970092885,,
Giraf,female,22,training_train,practice,sc2,2,2,11,4,dimgray,circle,sounds/D.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970095466,,
Giraf,female,22,training_train,practice,sc2,2,2,12,4,darkorange,circle,sounds/V.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970098040,,
Giraf,female,22,training_train,practice,sc2,2,2,13,4,blue,circle,sounds/D.wav,no,1,,1,0,1,Studerende,0,,1,1,0,,1,,0,1554970100623,,
Giraf,female,22,training_train,practice,sc2,2,2,14,4,white,circle,sounds/B.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970103204,,
Giraf,female,22,training_train,practice,sc2,2,2,15,4,blue,circle,sounds/C.wav,no,0,,1,1,1,Studerende,0,,0,0,0,,1,,0,1554970105777,,
Giraf,female,22,training_train,practice,sc2,2,2,16,4,green,circle,sounds/B.wav,no,0,,1,0,1,Studerende,0,,1,1,0,,0,,0,1554970108350,,
Giraf,female,22,training_train,practice,sc2,2,2,17,4,green,circle,sounds/P.wav,no,0,,1,0,1,Studerende,0,,0,0,0,,1,,1,1554970110946,,
Giraf,female,22,training_train,practice,sc2,2,2,18,4,blue,circle,sounds/C.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970113516,,
Giraf,female,22,training_train,practice,sc2,2,2,19,4,white,circle,sounds/B.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970116090,,
Giraf,female,22,training_train,practice,sc2,2,2,20,4,yellow,circle,sounds/B.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970118679,,
Giraf,female,22,training_train,practice,sc2,2,2,21,4,dimgray,circle,sounds/E.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970121254,,
Giraf,female,22,training_train,practice,sc2,2,2,22,4,dimgray,circle,sounds/T.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970123825,,
Giraf,female,22,training_train,practice,sc2,2,2,23,4,dimgray,circle,sounds/V.wav,no,1,,1,1,1,Studerende,0,,0,1,0,,0,,1,1554970126423,,
Giraf,female,22,training_train,practice,sc2,2,2,24,4,white,circle,sounds/T.wav,no,1,,1,0,1,Studerende,0,,1,1,0,,1,,0,1554970129011,,
Giraf,female,22,training_train,practice,sc2,2,2,25,4,dimgray,circle,sounds/G.wav,no,0,,1,1,1,Studerende,0,,0,1,0,,1,,1,1554970131604,,
Giraf,female,22,training_train,practice,sc2,2,2,26,4,dimgray,circle,sounds/T.wav,no,0,,1,0,1,Studerende,0,,1,0,0,,0,,1,1554970134181,,
Giraf,female,22,training_train,practice,sc2,2,2,27,4,dimgray,circle,sounds/G.wav,no,0,,1,1,1,Studerende,0,,1,1,0,,0,,1,1554970136785,,
Giraf,female,22,training_train,practice,sc2,2,2,28,4,blue,circle,sounds/C.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970139365,,
Giraf,female,22,training_train,practice,sc2,2,2,29,4,dimgray,circle,sounds/G.wav,no,0,,1,1,1,Studerende,0,,1,1,0,,0,,1,1554970141963,,
Giraf,female,22,training_train,practice,sc2,2,2,30,4,green,circle,sounds/D.wav,no,0,,1,0,1,Studerende,0,,0,1,0,,1,,0,1554970144528,,
Giraf,female,22,training_train,practice,sc2,2,2,31,4,dimgray,circle,sounds/E.wav,no,0,,1,1,1,Studerende,0,,0,1,0,,1,,1,1554970147117,,
Giraf,female,22,training_train,practice,sc2,2,2,32,4,green,circle,sounds/G.wav,no,0,,1,1,1,Studerende,0,,0,0,0,,1,,0,1554970149694,,
Giraf,female,22,training_train,practice,pcfs1,4,1,1,5,darkorange,circle,sounds/B.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970159733,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,2,5,darkorange,circle,sounds/B.wav,no,0,1,1,1,1,Studerende,1,0,1,1,1,1,0,0,1,1554970163344,0,0
Giraf,female,22,training_train,practice,pcfs1,4,1,3,1,white,square,sounds/B.wav,no,0,0,1,0,1,Studerende,1,1,1,1,1,0,0,0,0,1554970166937,1,0
Giraf,female,22,training_train,practice,pcfs1,4,1,4,5,darkorange,star,sounds/V.wav,no,0,0,1,0,1,Studerende,1,1,0,1,1,0,1,0,0,1554970170533,1,0
