id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_response,sound_response,color_tested,position_tested,color_score,figure_tested,timestamp,position_score,occupation,figure_response,color_response,figure_target,figure_score,sound_target,color_target,position_target,sound_tested,sound_score,simulate
Leopard,male,23,training_train,pretest,pc2,2,2,13,0,dimgray,circle,,0,,1,1,0,0,1555398860100,1,Studerende,,0,,,,1,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,14,4,yellow,circle,,0,,1,1,1,0,1555398862650,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,15,2,white,circle,,0,,1,1,1,0,1555398865200,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,16,1,dimgray,circle,,0,,1,1,1,0,1555398867751,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,17,6,white,circle,,0,,1,1,0,0,1555398870301,1,Studerende,,0,,,,1,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,18,8,yellow,circle,,0,,1,1,1,0,1555398872850,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,19,2,white,circle,,0,,1,1,0,0,1555398875400,1,Studerende,,0,,,,1,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,20,7,green,circle,,0,,1,1,1,0,1555398877950,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,21,5,yellow,circle,,0,,1,1,1,0,1555398880500,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,22,3,white,circle,,0,,1,1,1,0,1555398883050,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,23,7,yellow,circle,,0,,1,1,1,0,1555398885617,1,Studerende,,1,,,,1,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,24,5,blue,circle,,0,,1,1,1,0,1555398888168,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,25,7,white,circle,,0,,1,1,1,0,1555398890718,0,Studerende,,0,,,,0,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,26,3,blue,circle,,0,,1,1,1,0,1555398893284,1,Studerende,,1,,,,1,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,27,7,white,circle,,1,,1,1,0,0,1555398895850,1,Studerende,,0,,,,1,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,28,5,white,circle,,0,,1,1,1,0,1555398898401,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,29,7,blue,circle,,0,,1,1,1,0,1555398900951,0,Studerende,,0,,,,0,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,30,8,white,circle,,0,,1,1,0,0,1555398903501,1,Studerende,,0,,,,1,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,31,7,blue,circle,,1,,1,1,0,0,1555398906068,1,Studerende,,0,,,,1,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,32,8,dimgray,circle,,1,,1,1,1,0,1555398908634,1,Studerende,,0,,,,0,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,33,4,darkorange,circle,,0,,1,1,1,0,1555398911184,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,34,8,yellow,circle,,0,,1,1,1,0,1555398913734,0,Studerende,,0,,,,0,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,35,1,darkorange,circle,,0,,1,1,0,0,1555398916284,1,Studerende,,0,,,,1,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,36,8,blue,circle,,0,,1,1,1,0,1555398918835,0,Studerende,,0,,,,0,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,37,5,yellow,circle,,0,,1,1,1,0,1555398921385,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,38,1,white,circle,,0,,1,1,1,0,1555398923935,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,39,8,yellow,circle,,1,,1,1,1,0,1555398926518,0,Studerende,,1,,,,1,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,40,3,red,circle,,0,,1,1,1,0,1555398929068,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,41,8,green,circle,,1,,1,1,1,0,1555398931635,1,Studerende,,0,,,,0,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,42,3,green,circle,,0,,1,1,0,0,1555398934201,0,Studerende,,1,,,,0,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,43,6,dimgray,circle,,0,,1,1,1,0,1555398936752,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,44,3,red,circle,,0,,1,1,1,0,1555398939302,0,Studerende,,0,,,,0,1,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,45,8,white,circle,,0,,1,1,1,0,1555398941852,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,46,0,yellow,circle,,0,,1,1,1,0,1555398944402,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,47,4,darkorange,circle,,0,,1,1,1,0,1555398946952,1,Studerende,,0,,,,0,0,0,,no
Leopard,male,23,training_train,pretest,pc2,2,2,48,2,darkorange,circle,,0,,1,1,1,0,1555398949502,1,Studerende,,0,,,,0,0,0,,no
