id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,timestamp,sound_response,position_response,color_score,sound_tested,position_score,figure_response,simulate,color_tested,figure_score,occupation,sound_target,position_target,figure_target,color_target,sound_score,color_response,figure_tested,position_tested
Pingvin,male,23,training_train,practice,f2,1,2,22,4,white,star,,1555413721934,,,,0,,1,no,0,0,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,23,4,white,star,,1555413724484,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,24,4,white,star,,1555413727051,,,,0,,1,no,0,1,I arbejde,,,1,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,25,4,white,circle,,1555413729602,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,26,4,white,triangle,,1555413732154,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,27,4,white,square,,1555413734704,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,28,4,white,circle,,1555413737270,,,,0,,1,no,0,0,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,29,4,white,star,,1555413739822,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,30,4,white,circle,,1555413742372,,,,0,,0,no,0,0,I arbejde,,,1,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,31,4,white,star,,1555413744924,,,,0,,0,no,0,0,I arbejde,,,1,,,,1,0
Pingvin,male,23,training_train,practice,f2,1,2,32,4,white,star,,1555413747487,,,,0,,0,no,0,1,I arbejde,,,0,,,,1,0
Pingvin,male,23,training_train,practice,sc2,2,2,1,4,white,circle,sounds\E.wav,1555413778045,0,,1,1,,,no,1,,I arbejde,0,,,0,1,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,2,4,dimgray,circle,sounds\T.wav,1555413780595,0,,1,1,,,no,1,,I arbejde,0,,,0,1,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,3,4,white,circle,sounds\C.wav,1555413783163,1,,1,1,,,no,1,,I arbejde,0,,,1,0,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,4,4,red,circle,sounds\T.wav,1555413785713,0,,1,1,,,no,1,,I arbejde,1,,,0,0,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,5,4,darkorange,circle,sounds\P.wav,1555413788263,0,,1,1,,,no,1,,I arbejde,0,,,0,1,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,6,4,red,circle,sounds\C.wav,1555413790829,1,,0,1,,,no,1,,I arbejde,0,,,1,0,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,7,4,blue,circle,sounds\E.wav,1555413793380,0,,1,1,,,no,1,,I arbejde,0,,,0,1,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,8,4,blue,circle,sounds\C.wav,1555413795946,1,,0,1,,,no,1,,I arbejde,1,,,0,1,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,9,4,green,circle,sounds\E.wav,1555413798512,0,,0,1,,,no,1,,I arbejde,1,,,0,0,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,10,4,blue,circle,sounds\G.wav,1555413801063,0,,0,1,,,no,1,,I arbejde,0,,,1,1,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,11,4,darkorange,circle,sounds\E.wav,1555413803646,1,,0,1,,,no,1,,I arbejde,1,,,0,1,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,12,4,blue,circle,sounds\C.wav,1555413806232,1,,1,1,,,no,1,,I arbejde,0,,,1,0,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,13,4,blue,circle,sounds\P.wav,1555413808782,0,,1,1,,,no,1,,I arbejde,0,,,0,1,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,14,4,darkorange,circle,sounds\C.wav,1555413811340,0,,1,1,,,no,1,,I arbejde,1,,,0,0,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,15,4,blue,circle,sounds\C.wav,1555413813899,1,,0,1,,,no,1,,I arbejde,0,,,1,0,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,16,4,white,circle,sounds\D.wav,1555413816465,1,,0,1,,,no,1,,I arbejde,0,,,0,0,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,17,4,darkorange,circle,sounds\E.wav,1555413819049,1,,0,1,,,no,1,,I arbejde,0,,,0,0,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,18,4,darkorange,circle,sounds\G.wav,1555413821616,1,,1,1,,,no,1,,I arbejde,0,,,0,0,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,19,4,dimgray,circle,sounds\E.wav,1555413824166,0,,1,1,,,no,1,,I arbejde,1,,,0,0,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,20,4,white,circle,sounds\G.wav,1555413826753,1,,0,1,,,no,1,,I arbejde,1,,,0,1,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,21,4,yellow,circle,sounds\P.wav,1555413829319,0,,0,1,,,no,1,,I arbejde,0,,,0,1,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,22,4,white,circle,sounds\B.wav,1555413831903,1,,1,1,,,no,1,,I arbejde,0,,,1,0,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,23,4,red,circle,sounds\T.wav,1555413834457,0,,1,1,,,no,1,,I arbejde,0,,,0,1,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,24,4,green,circle,sounds\G.wav,1555413837024,1,,1,1,,,no,1,,I arbejde,0,,,0,0,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,25,4,dimgray,circle,sounds\T.wav,1555413839590,1,,1,1,,,no,1,,I arbejde,1,,,0,1,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,26,4,blue,circle,sounds\E.wav,1555413842174,1,,0,1,,,no,1,,I arbejde,0,,,0,0,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,27,4,dimgray,circle,sounds\G.wav,1555413844740,1,,0,1,,,no,1,,I arbejde,0,,,1,0,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,28,4,yellow,circle,sounds\T.wav,1555413847307,1,,1,1,,,no,1,,I arbejde,0,,,0,0,0,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,29,4,darkorange,circle,sounds\V.wav,1555413849873,0,,0,1,,,no,1,,I arbejde,0,,,0,1,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,30,4,darkorange,circle,sounds\C.wav,1555413852441,0,,0,1,,,no,1,,I arbejde,0,,,0,1,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,31,4,darkorange,circle,sounds\B.wav,1555413855007,0,,1,1,,,no,1,,I arbejde,0,,,1,1,1,0,0
Pingvin,male,23,training_train,practice,sc2,2,2,32,4,blue,circle,sounds\E.wav,1555413857576,1,,1,1,,,no,1,,I arbejde,0,,,0,0,0,0,0
Pingvin,male,23,training_train,practice,pcfs1,4,1,1,2,blue,star,sounds\C.wav,1555413874410,0,0,1,1,1,0,no,1,1,I arbejde,0,0,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,2,5,blue,square,sounds\D.wav,1555413877976,0,0,1,1,1,0,no,1,1,I arbejde,0,0,0,1,1,1,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,3,5,green,circle,sounds\P.wav,1555413881530,0,0,1,1,0,0,no,1,1,I arbejde,0,1,0,0,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,4,1,green,triangle,sounds\P.wav,1555413885100,1,0,0,1,1,0,no,1,1,I arbejde,1,0,0,1,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,5,7,green,star,sounds\V.wav,1555413888653,0,0,0,1,1,0,no,1,1,I arbejde,0,0,0,1,1,0,1,1
Pingvin,male,23,training_train,practice,pcfs1,4,1,6,0,blue,triangle,sounds\E.wav,1555413892219,0,0,0,1,1,0,no,1,1,I arbejde,0,0,0,0,1,1,1,1
