id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_response,position_target,figure_tested,timestamp,sound_target,color_tested,sound_response,color_score,figure_target,sound_score,sound_tested,figure_score,simulate,position_response,occupation,color_target,position_score,color_response,position_tested
Orangutan,male,55,training_transfer,training,ps2,2,2,8,0,white,circle,sounds\V.wav,,0,0,1555675173437,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,9,6,white,circle,sounds\D.wav,,1,0,1555675176005,1,0,0,,,0,1,,no,1,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,10,2,white,circle,sounds\E.wav,,0,0,1555675178555,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,11,6,white,circle,sounds\P.wav,,1,0,1555675181121,0,0,0,,,1,1,,no,1,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,12,0,white,circle,sounds\C.wav,,0,0,1555675183671,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,13,5,white,circle,sounds\P.wav,,0,0,1555675186221,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,14,0,white,circle,sounds\C.wav,,1,0,1555675188771,1,0,0,,,0,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,15,4,white,circle,sounds\C.wav,,0,0,1555675191322,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,16,7,white,circle,sounds\G.wav,,0,0,1555675193872,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,17,0,white,circle,sounds\P.wav,,0,0,1555675196422,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,18,1,white,circle,sounds\D.wav,,0,0,1555675198971,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,19,6,white,circle,sounds\P.wav,,0,0,1555675201521,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,20,3,white,circle,sounds\V.wav,,0,0,1555675204071,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,21,7,white,circle,sounds\P.wav,,0,0,1555675206638,1,0,1,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,22,3,white,circle,sounds\T.wav,,1,0,1555675209189,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,23,0,white,circle,sounds\P.wav,,0,0,1555675211739,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,24,3,white,circle,sounds\T.wav,,1,0,1555675214305,1,0,1,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,25,1,white,circle,sounds\B.wav,,0,0,1555675216855,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,26,0,white,circle,sounds\B.wav,,0,0,1555675219405,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,27,1,white,circle,sounds\V.wav,,1,0,1555675221972,0,0,0,,,1,1,,no,1,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,28,8,white,circle,sounds\G.wav,,0,0,1555675224522,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,29,1,white,circle,sounds\V.wav,,1,0,1555675227073,1,0,0,,,0,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,30,8,white,circle,sounds\E.wav,,1,0,1555675229633,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,31,3,white,circle,sounds\V.wav,,0,0,1555675232189,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,32,0,white,circle,sounds\T.wav,,0,0,1555675234739,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,33,6,white,circle,sounds\T.wav,,0,0,1555675237305,0,0,1,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,34,3,white,circle,sounds\G.wav,,0,0,1555675239855,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,35,5,white,circle,sounds\T.wav,,0,0,1555675242405,1,0,0,,,0,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,36,3,white,circle,sounds\E.wav,,1,0,1555675244956,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,37,7,white,circle,sounds\E.wav,,0,0,1555675247506,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,38,5,white,circle,sounds\T.wav,,0,0,1555675250056,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,39,2,white,circle,sounds\V.wav,,0,0,1555675252606,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,40,0,white,circle,sounds\E.wav,,0,0,1555675255156,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,41,4,white,circle,sounds\D.wav,,0,0,1555675257706,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,42,7,white,circle,sounds\P.wav,,0,0,1555675260256,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,43,1,white,circle,sounds\G.wav,,0,0,1555675262807,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,44,8,white,circle,sounds\P.wav,,0,0,1555675265373,1,0,1,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,45,6,white,circle,sounds\E.wav,,0,0,1555675267923,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,46,7,white,circle,sounds\E.wav,,0,0,1555675270473,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,47,3,white,circle,sounds\E.wav,,0,0,1555675273040,1,0,1,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,48,8,white,circle,sounds\B.wav,,0,0,1555675275590,0,0,0,,,1,1,,no,0,Andet,,1,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,49,3,white,circle,sounds\D.wav,,1,0,1555675278141,0,0,0,,,1,1,,no,0,Andet,,0,,1
Orangutan,male,55,training_transfer,training,ps2,2,2,50,8,white,circle,sounds\G.wav,,1,0,1555675280691,0,0,0,,,1,1,,no,0,Andet,,0,,1
