id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_tested,position_score,simulate,figure_response,figure_score,sound_tested,color_tested,sound_target,position_target,figure_target,position_response,color_target,sound_response,color_response,sound_score,occupation,figure_tested,color_score,timestamp
Egern,male,23,training_train,practice,f2,1,2,24,4,white,star,,0,,no,1,1,0,0,,,1,,,,,,I arbejde,1,,1555351839832
Egern,male,23,training_train,practice,f2,1,2,25,4,white,square,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351842407
Egern,male,23,training_train,practice,f2,1,2,26,4,white,star,,0,,no,1,1,0,0,,,1,,,,,,I arbejde,1,,1555351844996
Egern,male,23,training_train,practice,f2,1,2,27,4,white,circle,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351847570
Egern,male,23,training_train,practice,f2,1,2,28,4,white,triangle,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351850145
Egern,male,23,training_train,practice,f2,1,2,29,4,white,circle,,0,,no,1,1,0,0,,,1,,,,,,I arbejde,1,,1555351852734
Egern,male,23,training_train,practice,f2,1,2,30,4,white,square,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351855309
Egern,male,23,training_train,practice,f2,1,2,31,4,white,circle,,0,,no,1,1,0,0,,,1,,,,,,I arbejde,1,,1555351857898
Egern,male,23,training_train,practice,f2,1,2,32,4,white,circle,,0,,no,0,1,0,0,,,0,,,,,,I arbejde,1,,1555351860473
Egern,male,23,training_train,practice,sc2,2,2,1,4,dimgray,circle,sounds/D.wav,0,,no,,,1,1,0,,,,0,0,0,1,I arbejde,0,1,1555351889334
Egern,male,23,training_train,practice,sc2,2,2,2,4,darkorange,circle,sounds/E.wav,0,,no,,,1,1,0,,,,0,0,0,1,I arbejde,0,1,1555351891906
Egern,male,23,training_train,practice,sc2,2,2,3,4,dimgray,circle,sounds/B.wav,0,,no,,,1,1,0,,,,1,1,1,0,I arbejde,0,1,1555351894510
Egern,male,23,training_train,practice,sc2,2,2,4,4,darkorange,circle,sounds/C.wav,0,,no,,,1,1,0,,,,1,1,0,0,I arbejde,0,0,1555351897099
Egern,male,23,training_train,practice,sc2,2,2,5,4,white,circle,sounds/D.wav,0,,no,,,1,1,0,,,,0,0,1,1,I arbejde,0,0,1555351899688
Egern,male,23,training_train,practice,sc2,2,2,6,4,green,circle,sounds/C.wav,0,,no,,,1,1,1,,,,0,1,1,1,I arbejde,0,0,1555351902297
Egern,male,23,training_train,practice,sc2,2,2,7,4,red,circle,sounds/C.wav,0,,no,,,1,1,0,,,,0,1,0,0,I arbejde,0,1,1555351904898
Egern,male,23,training_train,practice,sc2,2,2,8,4,dimgray,circle,sounds/C.wav,0,,no,,,1,1,1,,,,0,1,0,1,I arbejde,0,1,1555351907490
Egern,male,23,training_train,practice,sc2,2,2,9,4,red,circle,sounds/D.wav,0,,no,,,1,1,0,,,,1,0,1,1,I arbejde,0,1,1555351910068
Egern,male,23,training_train,practice,sc2,2,2,10,4,dimgray,circle,sounds/P.wav,0,,no,,,1,1,0,,,,1,1,0,0,I arbejde,0,0,1555351912660
Egern,male,23,training_train,practice,sc2,2,2,11,4,blue,circle,sounds/D.wav,0,,no,,,1,1,1,,,,0,1,0,1,I arbejde,0,1,1555351915252
Egern,male,23,training_train,practice,sc2,2,2,12,4,red,circle,sounds/T.wav,0,,no,,,1,1,0,,,,0,0,0,1,I arbejde,0,1,1555351917829
Egern,male,23,training_train,practice,sc2,2,2,13,4,darkorange,circle,sounds/C.wav,0,,no,,,1,1,0,,,,0,0,1,1,I arbejde,0,0,1555351920415
Egern,male,23,training_train,practice,sc2,2,2,14,4,green,circle,sounds/D.wav,0,,no,,,1,1,0,,,,0,1,0,0,I arbejde,0,1,1555351923016
Egern,male,23,training_train,practice,sc2,2,2,15,4,blue,circle,sounds/E.wav,0,,no,,,1,1,0,,,,0,0,0,1,I arbejde,0,1,1555351925600
Egern,male,23,training_train,practice,sc2,2,2,16,4,blue,circle,sounds/D.wav,0,,no,,,1,1,1,,,,0,1,0,1,I arbejde,0,1,1555351928180
Egern,male,23,training_train,practice,sc2,2,2,17,4,red,circle,sounds/P.wav,0,,no,,,1,1,0,,,,0,0,1,1,I arbejde,0,0,1555351930760
