id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_target,sound_score,simulate,color_target,figure_tested,sound_tested,position_response,sound_target,color_tested,color_score,sound_response,figure_target,color_response,position_tested,timestamp,figure_response,figure_score,occupation,position_score
mus,male,25,training_transfer,training,ps2,2,2,35,3,white,circle,sounds/T.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332102976,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,36,8,white,circle,sounds/P.wav,1,1,no,,0,1,1,0,0,,0,,,1,1555332105569,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,37,7,white,circle,sounds/C.wav,0,0,no,,0,1,0,0,0,,1,,,1,1555332108170,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,38,8,white,circle,sounds/C.wav,1,1,no,,0,1,0,0,0,,0,,,1,1555332110748,,,Studerende,0
mus,male,25,training_transfer,training,ps2,2,2,39,1,white,circle,sounds/D.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332113318,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,40,8,white,circle,sounds/B.wav,1,1,no,,0,1,0,0,0,,0,,,1,1555332115887,,,Studerende,0
mus,male,25,training_transfer,training,ps2,2,2,41,0,white,circle,sounds/D.wav,0,0,no,,0,1,0,1,0,,0,,,1,1555332118450,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,42,7,white,circle,sounds/P.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332121023,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,43,6,white,circle,sounds/T.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332123601,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,44,8,white,circle,sounds/P.wav,0,0,no,,0,1,1,1,0,,0,,,1,1555332126195,,,Studerende,0
mus,male,25,training_transfer,training,ps2,2,2,45,1,white,circle,sounds/V.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332128793,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,46,1,white,circle,sounds/P.wav,0,0,no,,0,1,0,1,0,,0,,,1,1555332131360,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,47,2,white,circle,sounds/G.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332133946,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,48,2,white,circle,sounds/P.wav,0,0,no,,0,1,0,1,0,,0,,,1,1555332136512,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,49,2,white,circle,sounds/V.wav,1,1,no,,0,1,1,0,0,,0,,,1,1555332139092,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,50,7,white,circle,sounds/P.wav,0,1,no,,0,1,0,1,0,,1,,,1,1555332141690,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,51,0,white,circle,sounds/C.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332144266,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,52,7,white,circle,sounds/D.wav,1,1,no,,0,1,0,0,0,,0,,,1,1555332146837,,,Studerende,0
mus,male,25,training_transfer,training,ps2,2,2,53,8,white,circle,sounds/T.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332149403,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,54,3,white,circle,sounds/D.wav,0,1,no,,0,1,0,1,0,,1,,,1,1555332152009,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,55,6,white,circle,sounds/D.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332154593,,,Studerende,1
mus,male,25,training_transfer,training,ps2,2,2,56,4,white,circle,sounds/E.wav,0,1,no,,0,1,0,0,0,,0,,,1,1555332157175,,,Studerende,1
