id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,figure_response,position_response,figure_score,color_tested,color_response,sound_target,position_tested,sound_score,simulate,position_target,sound_tested,sound_response,figure_target,color_score,occupation,timestamp,color_target,figure_tested
rensdyr,female,22,training_train,practice,pcfs1,4,1,11,5,white,circle,sounds/E.wav,1,0,0,1,1,0,0,1,1,no,0,1,0,0,1,Studerende,1555316975998,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,12,6,dimgray,star,sounds/E.wav,1,0,0,1,1,1,1,1,1,no,0,1,1,0,0,Studerende,1555316979633,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,13,2,red,circle,sounds/B.wav,1,0,0,1,1,0,0,1,1,no,0,1,0,0,1,Studerende,1555316983223,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,14,3,yellow,square,sounds/T.wav,1,0,0,1,1,0,0,1,1,no,0,1,0,0,1,Studerende,1555316986805,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,15,8,yellow,square,sounds/D.wav,1,1,0,1,1,1,0,1,1,no,0,1,0,1,1,Studerende,1555316990427,1,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,16,8,dimgray,square,sounds/D.wav,1,0,1,0,1,0,1,1,0,no,1,1,0,1,1,Studerende,1555316994029,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,17,6,dimgray,circle,sounds/G.wav,1,0,0,1,1,0,0,1,1,no,0,1,0,0,0,Studerende,1555316997614,1,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,18,3,dimgray,star,sounds/T.wav,1,0,0,1,1,1,0,1,1,no,0,1,0,0,1,Studerende,1555317001219,1,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,19,3,green,star,sounds/B.wav,1,0,1,0,1,1,0,1,1,no,1,1,0,1,0,Studerende,1555317004861,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,20,0,red,circle,sounds/B.wav,1,0,0,1,1,0,1,1,1,no,0,1,1,0,1,Studerende,1555317008472,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,21,1,red,star,sounds/P.wav,1,0,0,1,1,1,0,1,1,no,0,1,0,0,1,Studerende,1555317012098,1,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,22,7,blue,circle,sounds/P.wav,1,0,0,1,1,0,1,1,1,no,0,1,1,0,1,Studerende,1555317015711,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,23,7,white,square,sounds/P.wav,1,0,1,1,1,0,1,1,0,no,1,1,0,0,1,Studerende,1555317019313,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,24,5,blue,square,sounds/B.wav,1,0,0,0,1,0,0,1,1,no,0,1,0,1,1,Studerende,1555317022907,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,25,5,dimgray,square,sounds/G.wav,0,0,0,0,1,1,0,1,1,no,1,1,0,1,0,Studerende,1555317026515,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,26,3,green,star,sounds/V.wav,1,0,0,1,1,0,0,1,1,no,0,1,0,0,1,Studerende,1555317030111,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,27,2,red,triangle,sounds/D.wav,1,0,0,1,1,0,0,1,1,no,0,1,0,0,1,Studerende,1555317033696,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,28,1,red,square,sounds/E.wav,1,0,0,1,1,1,0,1,1,no,0,1,0,0,1,Studerende,1555317037297,1,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,29,6,red,square,sounds/E.wav,1,0,0,0,1,0,1,1,1,no,0,1,1,1,0,Studerende,1555317040897,1,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,30,3,darkorange,circle,sounds/T.wav,1,0,0,1,1,0,0,1,1,no,0,1,0,0,1,Studerende,1555317044488,0,1
rensdyr,female,22,training_train,practice,pcfs1,4,1,31,7,yellow,triangle,sounds/T.wav,1,0,0,1,1,0,1,1,1,no,0,1,1,0,1,Studerende,1555317048090,0,1
rensdyr,female,22,training_train,pretest,pc2,2,2,1,6,dimgray,circle,,1,,0,,1,0,,1,,no,0,0,,,1,Studerende,1555317074486,0,0
rensdyr,female,22,training_train,pretest,pc2,2,2,2,5,dimgray,circle,,1,,0,,1,1,,1,,no,0,0,,,0,Studerende,1555317077063,0,0
rensdyr,female,22,training_train,pretest,pc2,2,2,3,4,darkorange,circle,,1,,0,,1,0,,1,,no,0,0,,,1,Studerende,1555317079638,0,0
rensdyr,female,22,training_train,pretest,pc2,2,2,4,6,red,circle,,1,,0,,1,0,,1,,no,0,0,,,1,Studerende,1555317082207,0,0
rensdyr,female,22,training_train,pretest,pc2,2,2,5,5,green,circle,,0,,1,,1,0,,1,,no,0,0,,,1,Studerende,1555317084793,0,0
rensdyr,female,22,training_train,pretest,pc2,2,2,6,6,red,circle,,0,,0,,1,0,,1,,no,1,0,,,0,Studerende,1555317087359,1,0
rensdyr,female,22,training_train,pretest,pc2,2,2,7,7,darkorange,circle,,1,,0,,1,0,,1,,no,0,0,,,1,Studerende,1555317089927,0,0
