id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,position_score,simulate,position_target,sound_target,figure_target,timestamp,figure_score,figure_tested,figure_response,color_tested,color_target,sound_tested,position_tested,sound_response,sound_score,position_response,occupation,color_score,color_response
Gnu,male,22,training_train,practice,pcfs1,4,1,4,1,blue,triangle,sounds/G.wav,1,no,0,0,0,1554986446568,1,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,5,0,blue,circle,sounds/E.wav,1,no,0,0,0,1554986450170,1,1,0,1,1,1,1,0,1,0,Studerende,1,1
Gnu,male,22,training_train,practice,pcfs1,4,1,6,6,blue,star,sounds/T.wav,1,no,0,0,0,1554986453769,1,1,0,1,1,1,1,0,1,0,Studerende,0,0
Gnu,male,22,training_train,practice,pcfs1,4,1,7,6,yellow,star,sounds/T.wav,1,no,1,1,1,1554986457380,0,1,0,1,0,1,1,0,0,1,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,8,4,blue,square,sounds/G.wav,1,no,0,0,0,1554986460973,1,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,9,4,red,triangle,sounds/E.wav,1,no,1,0,0,1554986464590,1,1,0,1,0,1,1,0,1,1,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,10,1,red,triangle,sounds/E.wav,1,no,0,1,1,1554986468204,1,1,1,1,1,1,1,0,0,0,Studerende,0,0
Gnu,male,22,training_train,practice,pcfs1,4,1,11,6,dimgray,square,sounds/E.wav,1,no,0,1,0,1554986471803,1,1,0,1,0,1,1,0,0,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,12,0,dimgray,triangle,sounds/D.wav,1,no,0,0,0,1554986475420,1,1,0,1,1,1,1,0,1,0,Studerende,1,1
Gnu,male,22,training_train,practice,pcfs1,4,1,13,1,green,star,sounds/V.wav,1,no,0,0,0,1554986479007,1,1,0,1,0,1,1,0,1,0,Studerende,1,0
Gnu,male,22,training_train,practice,pcfs1,4,1,14,0,yellow,square,sounds/G.wav,1,no,0,0,0,1554986482595,1,1,0,1,0,1,1,0,1,0,Studerende,1,0
