id,gender,age,instruction,phase,task,factor,N,trial,position,color,figure,sound,figure_target,occupation,position_tested,position_score,sound_target,figure_tested,position_response,figure_score,color_score,figure_response,timestamp,position_target,sound_score,simulate,sound_tested,color_target,color_response,color_tested,sound_response
Hest,male,20,training_transfer,training,ps2,2,2,3,3,white,circle,sounds/P.wav,,Studerende,1,1,0,0,1,,,,1554978390705,1,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,4,8,white,circle,sounds/D.wav,,Studerende,1,1,0,0,0,,,,1554978393280,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,5,6,white,circle,sounds/G.wav,,Studerende,1,1,0,0,0,,,,1554978395854,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,6,5,white,circle,sounds/P.wav,,Studerende,1,1,0,0,0,,,,1554978398428,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,7,7,white,circle,sounds/V.wav,,Studerende,1,1,0,0,0,,,,1554978401001,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,8,3,white,circle,sounds/E.wav,,Studerende,1,1,0,0,0,,,,1554978403575,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,9,5,white,circle,sounds/E.wav,,Studerende,1,0,0,0,1,,,,1554978406158,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,10,3,white,circle,sounds/V.wav,,Studerende,1,1,0,0,1,,,,1554978408768,1,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,11,5,white,circle,sounds/T.wav,,Studerende,1,1,0,0,1,,,,1554978411366,1,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,12,7,white,circle,sounds/E.wav,,Studerende,1,1,0,0,0,,,,1554978413963,0,0,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,13,7,white,circle,sounds/T.wav,,Studerende,1,1,1,0,0,,,,1554978416544,0,0,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,14,7,white,circle,sounds/D.wav,,Studerende,1,1,0,0,1,,,,1554978419127,1,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,15,5,white,circle,sounds/T.wav,,Studerende,1,1,1,0,0,,,,1554978421722,0,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,16,2,white,circle,sounds/C.wav,,Studerende,1,1,0,0,0,,,,1554978424297,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,17,8,white,circle,sounds/T.wav,,Studerende,1,1,1,0,0,,,,1554978426883,0,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,18,3,white,circle,sounds/V.wav,,Studerende,1,1,0,0,0,,,,1554978429460,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,19,3,white,circle,sounds/T.wav,,Studerende,1,1,1,0,0,,,,1554978432058,0,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,20,4,white,circle,sounds/B.wav,,Studerende,1,1,0,0,0,,,,1554978434641,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,21,8,white,circle,sounds/T.wav,,Studerende,1,1,1,0,0,,,,1554978437242,0,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,22,4,white,circle,sounds/B.wav,,Studerende,1,1,1,0,1,,,,1554978439857,1,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,23,8,white,circle,sounds/P.wav,,Studerende,1,1,0,0,1,,,,1554978442446,1,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,24,8,white,circle,sounds/P.wav,,Studerende,1,1,0,0,0,,,,1554978445021,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,25,1,white,circle,sounds/B.wav,,Studerende,1,1,0,0,0,,,,1554978447592,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,26,6,white,circle,sounds/P.wav,,Studerende,1,1,1,0,0,,,,1554978450179,0,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,27,3,white,circle,sounds/D.wav,,Studerende,1,1,0,0,0,,,,1554978452782,0,0,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,28,4,white,circle,sounds/P.wav,,Studerende,1,1,1,0,0,,,,1554978455375,0,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,29,2,white,circle,sounds/E.wav,,Studerende,1,1,0,0,0,,,,1554978457972,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,30,3,white,circle,sounds/V.wav,,Studerende,1,1,0,0,0,,,,1554978460544,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,31,4,white,circle,sounds/G.wav,,Studerende,1,0,0,0,1,,,,1554978463128,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,32,7,white,circle,sounds/T.wav,,Studerende,1,1,0,0,0,,,,1554978465708,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,33,5,white,circle,sounds/V.wav,,Studerende,1,1,0,0,0,,,,1554978468294,0,0,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,34,4,white,circle,sounds/P.wav,,Studerende,1,1,0,0,0,,,,1554978470874,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,35,5,white,circle,sounds/T.wav,,Studerende,1,1,0,0,1,,,,1554978473455,1,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,36,7,white,circle,sounds/P.wav,,Studerende,1,1,1,0,0,,,,1554978476047,0,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,37,3,white,circle,sounds/B.wav,,Studerende,1,1,0,0,0,,,,1554978478624,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,38,2,white,circle,sounds/V.wav,,Studerende,1,1,0,0,0,,,,1554978481199,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,39,8,white,circle,sounds/E.wav,,Studerende,1,1,0,0,0,,,,1554978483773,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,40,2,white,circle,sounds/P.wav,,Studerende,1,1,0,0,1,,,,1554978486374,1,0,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,41,1,white,circle,sounds/E.wav,,Studerende,1,1,1,0,0,,,,1554978488981,0,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,42,5,white,circle,sounds/G.wav,,Studerende,1,1,0,0,0,,,,1554978491561,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,43,4,white,circle,sounds/P.wav,,Studerende,1,1,0,0,0,,,,1554978494136,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,44,5,white,circle,sounds/D.wav,,Studerende,1,1,0,0,1,,,,1554978496722,1,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,45,4,white,circle,sounds/E.wav,,Studerende,1,0,0,0,0,,,,1554978499300,1,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,46,3,white,circle,sounds/D.wav,,Studerende,1,1,1,0,0,,,,1554978501896,0,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,47,4,white,circle,sounds/V.wav,,Studerende,1,1,0,0,1,,,,1554978504492,1,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,48,3,white,circle,sounds/P.wav,,Studerende,1,1,0,0,1,,,,1554978507107,1,0,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,49,2,white,circle,sounds/E.wav,,Studerende,1,1,0,0,0,,,,1554978509688,0,0,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,50,3,white,circle,sounds/D.wav,,Studerende,1,1,0,0,1,,,,1554978512283,1,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,51,2,white,circle,sounds/E.wav,,Studerende,1,1,1,0,1,,,,1554978514872,1,0,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,52,8,white,circle,sounds/G.wav,,Studerende,1,1,0,0,0,,,,1554978517449,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,53,4,white,circle,sounds/E.wav,,Studerende,1,1,1,0,0,,,,1554978520024,0,0,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,54,2,white,circle,sounds/P.wav,,Studerende,1,1,0,0,0,,,,1554978522595,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,55,2,white,circle,sounds/V.wav,,Studerende,1,1,0,0,0,,,,1554978525170,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,56,1,white,circle,sounds/D.wav,,Studerende,1,1,0,0,0,,,,1554978527739,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,57,2,white,circle,sounds/V.wav,,Studerende,1,1,1,0,1,,,,1554978530339,1,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,58,3,white,circle,sounds/V.wav,,Studerende,1,1,0,0,0,,,,1554978532908,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,59,3,white,circle,sounds/B.wav,,Studerende,1,0,0,0,1,,,,1554978535492,0,1,no,1,,,0,0
Hest,male,20,training_transfer,training,ps2,2,2,60,6,white,circle,sounds/D.wav,,Studerende,1,1,0,0,0,,,,1554978538084,0,0,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,61,2,white,circle,sounds/B.wav,,Studerende,1,1,1,0,0,,,,1554978540670,0,1,no,1,,,0,1
Hest,male,20,training_transfer,training,ps2,2,2,62,0,white,circle,sounds/B.wav,,Studerende,1,1,0,0,0,,,,1554978543270,0,0,no,1,,,0,1
Hest,male,20,training_transfer,posttest,pc2,2,2,1,6,red,circle,,,Studerende,1,1,,0,0,,1,,1554978588006,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,2,6,red,circle,,,Studerende,1,1,,0,0,,1,,1554978590577,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,3,7,darkorange,circle,,,Studerende,1,1,,0,0,,1,,1554978593155,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,4,3,blue,circle,,,Studerende,1,1,,0,0,,1,,1554978595727,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,5,4,red,circle,,,Studerende,1,1,,0,0,,1,,1554978598301,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,6,7,yellow,circle,,,Studerende,1,1,,0,0,,1,,1554978600873,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,7,5,dimgray,circle,,,Studerende,1,1,,0,0,,1,,1554978603443,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,8,7,blue,circle,,,Studerende,1,1,,0,1,,1,,1554978606031,1,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,9,1,dimgray,circle,,,Studerende,1,1,,0,0,,0,,1554978608611,0,,no,0,1,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,10,7,red,circle,,,Studerende,1,1,,0,1,,1,,1554978611200,1,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,11,0,dimgray,circle,,,Studerende,1,1,,0,0,,0,,1554978613775,0,,no,0,1,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,12,4,red,circle,,,Studerende,1,1,,0,0,,0,,1554978616349,0,,no,0,1,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,13,0,red,circle,,,Studerende,1,1,,0,1,,0,,1554978618947,1,,no,0,0,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,14,5,white,circle,,,Studerende,1,1,,0,0,,1,,1554978621523,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,15,1,blue,circle,,,Studerende,1,1,,0,0,,1,,1554978624102,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,16,3,green,circle,,,Studerende,1,1,,0,0,,1,,1554978626677,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,17,8,dimgray,circle,,,Studerende,1,1,,0,0,,1,,1554978629251,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,18,1,dimgray,circle,,,Studerende,1,1,,0,0,,1,,1554978631823,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,19,5,red,circle,,,Studerende,1,1,,0,0,,1,,1554978634398,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,20,2,blue,circle,,,Studerende,1,1,,0,0,,1,,1554978636972,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,21,5,red,circle,,,Studerende,1,1,,0,1,,1,,1554978639570,1,,no,0,1,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,22,4,white,circle,,,Studerende,1,1,,0,0,,1,,1554978642153,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,23,4,green,circle,,,Studerende,1,1,,0,0,,1,,1554978644725,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,24,7,white,circle,,,Studerende,1,1,,0,0,,1,,1554978647311,0,,no,0,1,1,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,25,2,red,circle,,,Studerende,1,1,,0,0,,1,,1554978649892,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,26,3,darkorange,circle,,,Studerende,1,1,,0,0,,1,,1554978652463,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,27,0,darkorange,circle,,,Studerende,1,1,,0,0,,1,,1554978655038,0,,no,0,0,0,1,
Hest,male,20,training_transfer,posttest,pc2,2,2,28,3,white,circle,,,Studerende,1,1,,0,1,,1,,1554978657621,1,,no,0,0,0,1,
